text,label
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Please bring a cancelled cheque for salary account creation. Submit your PAN card copy and Aadhar for background verification. We need your bank details to process the monthly payroll. HR will collect your documents for the provident fund (PF) setup. This is for your employee file and salary credit only.,0
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Your account is frozen. Pay tax to withdraw funds. Complete the optimization task to unfreeze your wallet. Merchant error. Deposit 50% to reclaim your commission. System paused. You must recharge to finish the last order. Premium task allocated. High return but requires deposit.,1
Urgent requirement for Volunteer coordinator. Walk-in interview today. Immediate joiners required. Spot offer letter. Drive for freshers. Bring original documents for verification only. Hiring aggressively for sales role. No fees. Direct company payroll. Emergency opening. Face to face interview at our office.,0
Urgent requirement for Risk analyst. Walk-in interview today. Immediate joiners required. Spot offer letter. Drive for freshers. Bring original documents for verification only. Hiring aggressively for sales role. No fees. Direct company payroll. Emergency opening. Face to face interview at our office.,0
Please bring a cancelled cheque for salary account creation. Submit your PAN card copy and Aadhar for background verification. We need your bank details to process the monthly payroll. HR will collect your documents for the provident fund (PF) setup. This is for your employee file and salary credit only.,0
